Country_Name,Country_Code,R,P_Value,correlation,Significant
Albania,ALB,,,NO,False
Algeria,DZA,,,NO,False
Angola,AGO,,,NO,False
Argentina,ARG,-0.9227048848244245,1.564799168977004e-13,NEG,True
Armenia,ARM,-0.5659768737301141,0.0009047036236863897,NEG,True
Australia,AUS,,,NO,False
Austria,AUT,,,NO,False
Azerbaijan,AZE,,,NO,False
Bahrain,BHR,,,NO,False
Bangladesh,BGD,,,NO,False
Belarus,BLR,,,NO,False
Belgium,BEL,0.8308213513419209,7.257377692683658e-09,POS,True
Benin,BEN,,,NO,False
Bolivia,BOL,,,NO,False
Bosnia and Herzegovina,BIH,,,NO,False
Botswana,BWA,,,NO,False
Brazil,BRA,0.6310988555226951,0.0001408937213083098,POS,True
Brunei Darussalam,BRN,,,NO,False
Bulgaria,BGR,0.021481910897477856,0.9086796533871284,POS,False
Cambodia,KHM,,,NO,False
Cameroon,CMR,,,NO,False
Canada,CAN,-0.2946663874859468,0.10757873321933958,NEG,False
Chile,CHL,,,NO,False
China,CHN,0.7867907605876365,1.533343100342898e-07,POS,True
Colombia,COL,,,NO,False
"Congo, Dem. Rep.",COD,,,NO,False
"Congo, Rep.",COG,,,NO,False
Costa Rica,CRI,,,NO,False
Cote d'Ivoire,CIV,,,NO,False
Croatia,HRV,,,NO,False
Cuba,CUB,,,NO,False
Cyprus,CYP,,,NO,False
Czech Republic,CZE,-0.7414531807419595,1.824370901276303e-06,NEG,True
Denmark,DNK,,,NO,False
Dominican Republic,DOM,,,NO,False
Ecuador,ECU,,,NO,False
"Egypt, Arab Rep.",EGY,,,NO,False
El Salvador,SLV,,,NO,False
Eritrea,ERI,,,NO,False
Estonia,EST,,,NO,False
Ethiopia,ETH,,,NO,False
Finland,FIN,-0.8799124949149304,7.018968395238605e-11,NEG,True
France,FRA,-0.09851684202691932,0.5980108324984105,NEG,False
Gabon,GAB,,,NO,False
Georgia,GEO,,,NO,False
Germany,DEU,0.8540498446519134,9.981161284692853e-10,POS,True
Ghana,GHA,,,NO,False
Greece,GRC,,,NO,False
Guatemala,GTM,,,NO,False
Haiti,HTI,,,NO,False
Honduras,HND,,,NO,False
Hungary,HUN,-0.6116757160469579,0.0002560338494551361,NEG,True
Iceland,ISL,,,NO,False
India,IND,0.560611300675306,0.0010369343767492423,POS,True
Indonesia,IDN,,,NO,False
"Iran, Islamic Rep.",IRN,0.7313751636830292,2.9558188361399212e-06,POS,True
Iraq,IRQ,,,NO,False
Ireland,IRL,,,NO,False
Israel,ISR,,,NO,False
Italy,ITA,,,NO,False
Jamaica,JAM,,,NO,False
Japan,JPN,-0.09933867159548716,0.5949452318126098,NEG,False
Jordan,JOR,,,NO,False
Kazakhstan,KAZ,,,NO,False
Kenya,KEN,,,NO,False
"Korea, Dem. People's Rep.",PRK,,,NO,False
"Korea, Rep.",KOR,-0.925951811230936,8.578779175723478e-14,NEG,True
Kuwait,KWT,,,NO,False
Kyrgyz Republic,KGZ,,,NO,False
Latvia,LVA,,,NO,False
Lebanon,LBN,,,NO,False
Libya,LBY,,,NO,False
Lithuania,LTU,0.2202401221003886,0.2338340815364315,POS,False
Luxembourg,LUX,,,NO,False
Malaysia,MYS,,,NO,False
Malta,MLT,,,NO,False
Mauritius,MUS,,,NO,False
Mexico,MEX,-0.18528277932365678,0.31833155316375433,NEG,False
Moldova,MDA,,,NO,False
Mongolia,MNG,,,NO,False
Montenegro,MNE,,,NO,False
Morocco,MAR,,,NO,False
Mozambique,MOZ,,,NO,False
Myanmar,MMR,,,NO,False
Namibia,NAM,,,NO,False
Nepal,NPL,,,NO,False
Netherlands,NLD,0.004306253874401811,0.9816574684931628,POS,False
New Zealand,NZL,,,NO,False
Nicaragua,NIC,,,NO,False
Niger,NER,,,NO,False
Nigeria,NGA,,,NO,False
North Macedonia,MKD,,,NO,False
Norway,NOR,,,NO,False
Oman,OMN,,,NO,False
Pakistan,PAK,0.8485236670989561,1.6481552463331195e-09,POS,True
Panama,PAN,,,NO,False
Paraguay,PRY,,,NO,False
Peru,PER,,,NO,False
Philippines,PHL,,,NO,False
Poland,POL,,,NO,False
Portugal,PRT,,,NO,False
Qatar,QAT,,,NO,False
Romania,ROU,-0.8806678870656018,6.437587100909945e-11,NEG,True
Russian Federation,RUS,-0.49736870398467836,0.004416788379256962,NEG,True
Saudi Arabia,SAU,,,NO,False
Senegal,SEN,,,NO,False
Serbia,SRB,,,NO,False
Singapore,SGP,,,NO,False
Slovak Republic,SVK,-0.7351627397215902,2.47179539053808e-06,NEG,True
Slovenia,SVN,0.16299158142666703,0.38098368026443696,POS,False
South Africa,ZAF,-0.26821721278366356,0.14459611597135405,NEG,False
South Sudan,SSD,,,NO,False
Spain,ESP,-0.5812577548136667,0.00060555442733814,NEG,True
Sri Lanka,LKA,,,NO,False
Sudan,SDN,,,NO,False
Suriname,SUR,,,NO,False
Sweden,SWE,0.837933555776257,4.086537293481327e-09,POS,True
Switzerland,CHE,0.7106008161136546,7.497127235602362e-06,POS,True
Syrian Arab Republic,SYR,,,NO,False
Tajikistan,TJK,,,NO,False
Tanzania,TZA,,,NO,False
Thailand,THA,,,NO,False
Togo,TGO,,,NO,False
